Date,Open,High,Low,Close,Adj Close,Volume
12/5/2017,6.07,6.13,5.89,6.05,6.05,129400
12/6/2017,6.06,6.15,5.93,6.03,6.03,100900
12/7/2017,6.07,6.14,5.93,6.07,6.07,147900
12/8/2017,6.07,6.12,5.91,5.94,5.94,102300
12/11/2017,5.94,5.95,5.63,5.67,5.67,148400
12/12/2017,5.65,5.65,5.5,5.52,5.52,163300
12/13/2017,5.52,5.63,5.48,5.52,5.52,184100
12/14/2017,5.5,5.57,5.21,5.3,5.3,276900
12/15/2017,5.3,5.46,5.26,5.34,5.34,297600
12/18/2017,5.37,5.58,5.33,5.57,5.57,78200
12/19/2017,5.56,5.57,5.3,5.35,5.35,90800
12/20/2017,5.39,5.48,5.33,5.41,5.41,77300
12/21/2017,5.35,5.49,5.35,5.41,5.41,73200
12/22/2017,5.38,5.45,5.34,5.37,5.37,47100
12/26/2017,5.32,5.47,5.32,5.42,5.42,178000
12/27/2017,5.39,5.39,4.8,4.96,4.96,347200
12/28/2017,4.98,5.12,4.83,5.07,5.07,213600
12/29/2017,5.05,5.05,4.73,4.74,4.74,293300
1/2/2018,4.79,5.09,4.72,5.08,5.08,313000
1/3/2018,5.04,5.08,4.83,4.85,4.85,243700
1/4/2018,4.85,4.99,4.75,4.96,4.96,247800
1/5/2018,4.94,4.94,4.77,4.85,4.85,205500
1/8/2018,4.84,4.94,4.65,4.88,4.88,158200
1/9/2018,4.87,4.87,4.57,4.64,4.64,263100
1/10/2018,4.62,4.94,4.57,4.93,4.93,193300
1/11/2018,4.88,5.05,4.88,4.99,4.99,192000
1/12/2018,4.98,5.08,4.87,4.9,4.9,96400
1/16/2018,5.01,5.01,4.55,4.74,4.74,310800
1/17/2018,4.81,4.96,4.68,4.86,4.86,316800
1/18/2018,4.84,4.89,4.72,4.73,4.73,113200
1/19/2018,4.71,5.1,4.69,5.01,5.01,437900
1/22/2018,4.92,4.98,4.8,4.95,4.95,129800
1/23/2018,4.98,5,4.81,4.99,4.99,131900
1/24/2018,4.98,5.02,4.85,4.99,4.99,96900
1/25/2018,5.02,5.04,4.88,5.02,5.02,112400
1/26/2018,5.04,5.04,4.82,4.96,4.96,150400
1/29/2018,4.92,4.94,4.85,4.9,4.9,50300
1/30/2018,4.89,4.92,4.71,4.91,4.91,177800
1/31/2018,4.94,4.96,4.72,4.76,4.76,180300
2/1/2018,4.75,4.82,4.66,4.76,4.76,146500
2/2/2018,4.69,4.8,4.6,4.69,4.69,174800
2/5/2018,4.63,4.71,4.5,4.51,4.51,315500
2/6/2018,4.4,4.97,4.36,4.75,4.75,377400
2/7/2018,4.23,5.07,3.57,4.73,4.73,765600
2/8/2018,4.75,5,4.61,4.86,4.86,304300
2/9/2018,4.9,4.9,4.47,4.67,4.67,257200
2/12/2018,4.7,4.78,4.56,4.77,4.77,121200
2/13/2018,4.72,5.01,4.72,5,5,186700
2/14/2018,4.99,5.14,4.91,5.09,5.09,135100
2/15/2018,5.12,5.19,4.97,5.06,5.06,153000
2/16/2018,5.04,5.17,4.93,4.99,4.99,400000
2/20/2018,5.01,5.08,4.83,4.85,4.85,113300
2/21/2018,4.87,4.92,4.71,4.73,4.73,172000
2/22/2018,4.73,4.85,4.7,4.75,4.75,104200
2/23/2018,4.78,4.86,4.78,4.83,4.83,73600
2/26/2018,4.87,4.87,4.76,4.78,4.78,59500
2/27/2018,4.89,5.02,4.82,5.01,5.01,178600
2/28/2018,4.99,5.12,4.95,5.05,5.05,422700
3/1/2018,5.03,5.1,4.75,4.84,4.84,201000
3/2/2018,4.8,4.89,4.68,4.87,4.87,109300
3/5/2018,4.87,4.9,4.69,4.72,4.72,109400
3/6/2018,4.72,4.95,4.69,4.91,4.91,105200
3/7/2018,4.85,4.96,4.72,4.92,4.92,133600
3/8/2018,4.93,4.98,4.69,4.72,4.72,90700
3/9/2018,5.1,5.77,5.05,5.31,5.31,1018900
3/12/2018,5.49,5.65,5.32,5.56,5.56,278700
3/13/2018,5.6,5.86,5.38,5.43,5.43,302400
3/14/2018,5.47,5.5,5.35,5.39,5.39,94600
3/15/2018,5.4,5.54,5.37,5.53,5.53,120400
3/16/2018,5.53,5.79,5.48,5.65,5.65,290700
3/19/2018,5.65,5.67,5.44,5.65,5.65,207800
3/20/2018,5.64,5.7,5.37,5.4,5.4,149500
3/21/2018,5.4,5.64,5.37,5.5,5.5,151700
3/22/2018,5.45,5.48,5.23,5.36,5.36,219200
3/23/2018,5.39,5.44,5.26,5.31,5.31,155300
3/26/2018,5.41,5.65,5.31,5.61,5.61,180200
3/27/2018,5.64,5.65,5.5,5.57,5.57,117100
3/28/2018,5.59,5.64,5.34,5.38,5.38,157800
3/29/2018,5.46,5.7,5.33,5.44,5.44,966000
4/2/2018,5.5,5.61,5.33,5.52,5.52,161700
4/3/2018,5.65,5.75,5.56,5.67,5.67,211800
4/4/2018,5.58,5.78,5.56,5.75,5.75,137400
4/5/2018,5.79,5.88,5.77,5.83,5.83,82000
4/6/2018,5.78,5.88,5.71,5.78,5.78,94100
4/9/2018,5.84,5.84,5.57,5.59,5.59,135900
4/10/2018,5.67,5.85,5.61,5.76,5.76,113300
4/11/2018,5.72,5.83,5.71,5.75,5.75,53800
4/12/2018,5.75,5.85,5.68,5.7,5.7,83600
4/13/2018,5.74,5.79,5.6,5.64,5.64,51700
4/16/2018,5.65,5.85,5.59,5.77,5.77,95300
4/17/2018,5.88,5.94,5.8,5.81,5.81,96200
4/18/2018,5.84,5.94,5.78,5.81,5.81,127900
4/19/2018,5.83,5.96,5.76,5.85,5.85,114400
4/20/2018,5.82,5.89,5.7,5.72,5.72,120500
4/23/2018,5.76,5.89,5.71,5.83,5.83,131200
4/24/2018,5.89,6.19,5.77,6.13,6.13,257000
4/25/2018,6.17,6.17,5.85,5.99,5.99,165900
4/26/2018,6,6.24,5.94,6.17,6.17,146300
4/27/2018,6.2,6.34,6.05,6.33,6.33,121800
4/30/2018,6.37,6.4,6.18,6.23,6.23,128400
5/1/2018,6.21,6.25,6.09,6.23,6.23,74500
5/2/2018,6.2,6.31,6.18,6.24,6.24,50100
5/3/2018,6.22,6.25,6.06,6.08,6.08,77200
5/4/2018,6.07,6.38,5.96,6.21,6.21,145400
